local_path,status,cloudinary_url
public\72f80c8f-f566-427b-9e07-1ae26cbc16e6.png,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592174/vimoksha-yogshala/public/72f80c8f-f566-427b-9e07-1ae26cbc16e6.png
public\about-studio.jpg,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592171/vimoksha-yogshala/public/about-studio.jpg
public\favicon.png,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592170/vimoksha-yogshala/public/favicon.png
public\hero-yoga-pose.webp,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592171/vimoksha-yogshala/public/hero-yoga-pose.webp
public\hero-yoga-pose1.webp,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592172/vimoksha-yogshala/public/hero-yoga-pose1.webp
public\hero.png,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592177/vimoksha-yogshala/public/hero.png
public\hero1.png,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592180/vimoksha-yogshala/public/hero1.png
public\images\about-hero-yoga.jpg,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592176/vimoksha-yogshala/public/images/about-hero-yoga.jpg
public\images\about-instructor.jpg,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592176/vimoksha-yogshala/public/images/about-instructor.jpg
public\images\Acupressure_Therapy.jpg,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592178/vimoksha-yogshala/public/images/Acupressure_Therapy.jpg
public\images\corporate-office-meditation.jpg,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592181/vimoksha-yogshala/public/images/corporate-office-meditation.jpg
public\images\corporate-studio-group.jpg,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592181/vimoksha-yogshala/public/images/corporate-studio-group.jpg
public\images\corporate-warrior-pose.webp,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592181/vimoksha-yogshala/public/images/corporate-warrior-pose.webp
public\images\Cupping_Therapy.jpg,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592181/vimoksha-yogshala/public/images/Cupping_Therapy.jpg
public\images\home-downdog-adjustment.jpg,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592181/vimoksha-yogshala/public/images/home-downdog-adjustment.jpg
public\images\home-partner-boat-pose.jpg,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592183/vimoksha-yogshala/public/images/home-partner-boat-pose.jpg
public\images\home-side-stretch.jpg,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592183/vimoksha-yogshala/public/images/home-side-stretch.jpg
public\images\Janu_Basti.webp,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592183/vimoksha-yogshala/public/images/Janu_Basti.webp
public\images\Kati_Basti.webp,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592183/vimoksha-yogshala/public/images/Kati_Basti.webp
public\images\Naturopathy.jpg,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592183/vimoksha-yogshala/public/images/Naturopathy.jpg
public\images\offline-aerial-yoga.jpg,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592184/vimoksha-yogshala/public/images/offline-aerial-yoga.jpg
public\images\offline-park-session.jpeg,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592184/vimoksha-yogshala/public/images/offline-park-session.jpg
public\images\offline-studio-stretch.jpeg,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592184/vimoksha-yogshala/public/images/offline-studio-stretch.jpg
public\images\offline-warrior-pose.jpg,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592184/vimoksha-yogshala/public/images/offline-warrior-pose.jpg
public\images\online-class-1.jpg,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592184/vimoksha-yogshala/public/images/online-class-1.jpg
public\images\online-class-2.jpg,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592185/vimoksha-yogshala/public/images/online-class-2.jpg
public\images\online-class-3.jpg,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592185/vimoksha-yogshala/public/images/online-class-3.jpg
public\images\Shirodhara.jpeg,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592185/vimoksha-yogshala/public/images/Shirodhara.jpg
public\images\teacher-training\curriculum.jpg,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592185/vimoksha-yogshala/public/images/teacher-training/curriculum.jpg
public\images\teacher-training\faq.jpg,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592185/vimoksha-yogshala/public/images/teacher-training/faq.jpg
public\images\teacher-training\grounds.jpg,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592187/vimoksha-yogshala/public/images/teacher-training/grounds.jpg
public\images\teacher-training\hero.webp,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592187/vimoksha-yogshala/public/images/teacher-training/hero.webp
public\images\teacher-training\meal.jpeg,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592187/vimoksha-yogshala/public/images/teacher-training/meal.jpg
public\images\teacher-training\room.jpg,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592187/vimoksha-yogshala/public/images/teacher-training/room.jpg
public\images\Therapeutic_Massage.webp,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592187/vimoksha-yogshala/public/images/Therapeutic_Massage.webp
public\images\therapies\Acupressure_Therapy.jpg,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592189/vimoksha-yogshala/public/images/therapies/Acupressure_Therapy.jpg
public\images\therapies\Cupping_Therapy.jpg,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592188/vimoksha-yogshala/public/images/therapies/Cupping_Therapy.jpg
public\images\therapies\hero.jpg,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592188/vimoksha-yogshala/public/images/therapies/hero.jpg
public\images\therapies\Janu_Basti.webp,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592188/vimoksha-yogshala/public/images/therapies/Janu_Basti.webp
public\images\therapies\Kati_Basti.webp,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592188/vimoksha-yogshala/public/images/therapies/Kati_Basti.webp
public\images\therapies\Naturopathy.jpg,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592190/vimoksha-yogshala/public/images/therapies/Naturopathy.jpg
public\images\therapies\Shirodhara.jpeg,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592190/vimoksha-yogshala/public/images/therapies/Shirodhara.jpg
public\images\therapies\Therapeutic_Massage.webp,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592190/vimoksha-yogshala/public/images/therapies/Therapeutic_Massage.webp
public\images\therapies.jpg,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592190/vimoksha-yogshala/public/images/therapies.jpg
public\logo png2.png,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592190/vimoksha-yogshala/public/logo%20png2.png
public\logo.png,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592191/vimoksha-yogshala/public/logo.png
public\meditation.jpeg,success,https://res.cloudinary.com/jgszs9dv/image/upload/v1787592191/vimoksha-yogshala/public/meditation.jpg
